id;name;address;email;phone;logo;latitude;longitude;sme_house_id
1;Borders;driver port Associate;"v_SQH@/2CI'.ah}0Ba";(784) 796-3545 x41038;streamline middleware;Branch;Buckinghamshire;1
2;Berkshire interface;Montserrat exploit;"V_6>@Op.c9s![";(917) 619-5899 x596;system;Streamlined initiatives;Health;2
3;override;withdrawal;"g@=hW.!~,P9y";(816) 423-9188;Keyboard International Awesome;Investment;deposit Avon;3
4;Metrics calculating;granular Dinar;"gIp,@g\3q-t.~rW";674.228.1576;Fantastic override;reboot Savings;white generating Ramp;4
5;Metal deposit Cheese;Cotton cutting-edge reintermediate;"<6@M{?*.m:L";582-403-0984;invoice Tools;Global multi-byte;Developer Specialist;5
6;Caribbean monitor microchip;Plastic client-driven Organic;"R.\@cDM.B4msFz";936.561.9775 x0401;Dollar;granular Wyoming;innovative;6
7;Gloves up holistic;Springs Hampshire;"UnH?n&@_x.,.`G";1-940-710-8384;connecting;Michigan Ringgit;Tuna redefine;7
8;Rand;red;"TV&@oI{?:.Q";771.847.5541 x997;Senegal;Health;up Music;8
9;invoice;Angola withdrawal Lane;")'0j{@o10ePU.U5";1-899-429-1749 x146;Honduras impactful;mobile Dollar Dynamic;FTP;9
10;bluetooth circuit Cedi;Tome;"txrY)@L.3zDGeA";(478) 948-1797;Manager;circuit;Account architect mobile;10
