id;name;email;phone;phone_2;logo;address;latitude;longitude;web_site;sme_immatriculation_number;is_client;is_authorized;terms_of_use;is_valid;activity_area_id;sme_house_id
1;engineer Generic internet;"{Q@olA\.10<";(441) 278-0098;Health;back full-range;Innovative sensor;technologies;Assistant RAM;interface synthesize France;users;true;false;navigate;false;1;1
2;Finland Orchestrator;"~@]{.]Rj";808-971-7134 x369;Factors Usability Intranet;optical pink red;microchip;green;Vietnam synergize input;Shirt;data-warehouse violet Ecuador;true;true;enterprise;false;2;2
3;Avon;"k@e.-n";(390) 441-6751 x1297;USB Car;Angola;innovate Darussalam;installation;Factors hack;Future;cultivate Small Ireland;true;false;Garden Berkshire mobile;true;3;3
4;deposit Oman Montenegro;"GQhD{u@ZN,.fydiq\";432.836.2637 x48811;Wall Iraqi;solid back;SCSI Moroccan sticky;FTP wireless;Administrator hack Product;connect;proactive;true;false;Metal Refined THX;true;4;4
5;dot-com;"vchz@.CWl.)K'diN";(371) 790-1969 x41769;Refined;deposit;Small Square;Sausages Chips;content hacking Fresh;Facilitator Towels;strategize Portugal blue;false;true;e-business Analyst;true;5;5
6;efficient Run COM;"G^h?R0@c:b.['sX";(288) 220-1937 x719;Eritrea navigate supply-chains;Executive auxiliary Wooden;hacking orchestrate;Berkshire;Mouse;methodology;Borders focus;true;false;Bacon hacking fault-tolerant;false;6;6
7;Rubber Towels;"!VK]F<@b.M7g0";(275) 567-9788;deposit;back-end;Towels;synthesize;white relationships invoice;program Marketing Arkansas;bypassing;true;false;National;false;7;7
8;CSS maroon;"=@a.U'";594.347.2417 x485;Togo Computer;morph fault-tolerant deliver;reciprocal system compressing;payment User;Sleek Lek;data-warehouse Lari Hollow;methodology Avon Colon;true;false;Slovenia;true;8;8
9;Fantastic Towels users;"50r7@g.*";(862) 624-3591;Latvian;Concrete Crossing calculating;optimal Multi-layered sexy;Central services Account;SQL Jersey Right-sized;back-end Factors Factors;Engineer hack;true;true;paradigms;false;9;9
10;Assistant Table white;"`EuU@m3eY.*IC!";1-499-604-6316 x762;programming Markets Chair;Concrete;recontextualize Jewelery;Ergonomic Spain copying;index SCSI;multi-byte Borders;cross-platform Health;true;false;Knolls Market;true;10;10
